match_id,round,date,time,china_date,china_time,team1,team2,group,ground,actual_goals1,actual_goals2
1,Matchday 1,2026-06-11,13:00 UTC-6,2026-06-12,03:00,Mexico,South Africa,Group A,Mexico City,2.0,0.0
2,Matchday 1,2026-06-11,20:00 UTC-6,2026-06-12,10:00,South Korea,Czech Republic,Group A,Guadalajara (Zapopan),2.0,1.0
3,Matchday 8,2026-06-18,12:00 UTC-4,2026-06-19,00:00,Czech Republic,South Africa,Group A,Atlanta,,
4,Matchday 8,2026-06-18,19:00 UTC-6,2026-06-19,09:00,Mexico,South Korea,Group A,Guadalajara (Zapopan),,
5,Matchday 14,2026-06-24,19:00 UTC-6,2026-06-25,09:00,Czech Republic,Mexico,Group A,Mexico City,,
6,Matchday 14,2026-06-24,19:00 UTC-6,2026-06-25,09:00,South Africa,South Korea,Group A,Monterrey (Guadalupe),,
7,Matchday 2,2026-06-12,15:00 UTC-4,2026-06-13,03:00,Canada,Bosnia & Herzegovina,Group B,Toronto,1.0,1.0
8,Matchday 3,2026-06-13,12:00 UTC-7,2026-06-14,03:00,Qatar,Switzerland,Group B,San Francisco Bay Area (Santa Clara),1.0,1.0
9,Matchday 8,2026-06-18,12:00 UTC-7,2026-06-19,03:00,Switzerland,Bosnia & Herzegovina,Group B,Los Angeles (Inglewood),,
10,Matchday 8,2026-06-18,15:00 UTC-7,2026-06-19,06:00,Canada,Qatar,Group B,Vancouver,,
11,Matchday 14,2026-06-24,12:00 UTC-7,2026-06-25,03:00,Switzerland,Canada,Group B,Vancouver,,
12,Matchday 14,2026-06-24,12:00 UTC-7,2026-06-25,03:00,Bosnia & Herzegovina,Qatar,Group B,Seattle,,
13,Matchday 3,2026-06-13,18:00 UTC-4,2026-06-14,06:00,Brazil,Morocco,Group C,New York/New Jersey (East Rutherford),1.0,1.0
14,Matchday 3,2026-06-13,21:00 UTC-4,2026-06-14,09:00,Haiti,Scotland,Group C,Boston (Foxborough),0.0,1.0
15,Matchday 9,2026-06-19,18:00 UTC-4,2026-06-20,06:00,Scotland,Morocco,Group C,Boston (Foxborough),,
16,Matchday 9,2026-06-19,20:30 UTC-4,2026-06-20,08:30,Brazil,Haiti,Group C,Philadelphia,,
17,Matchday 14,2026-06-24,18:00 UTC-4,2026-06-25,06:00,Scotland,Brazil,Group C,Miami (Miami Gardens),,
18,Matchday 14,2026-06-24,18:00 UTC-4,2026-06-25,06:00,Morocco,Haiti,Group C,Atlanta,,
19,Matchday 2,2026-06-12,18:00 UTC-7,2026-06-13,09:00,USA,Paraguay,Group D,Los Angeles (Inglewood),4.0,1.0
20,Matchday 3,2026-06-13,21:00 UTC-7,2026-06-14,12:00,Australia,Turkey,Group D,Vancouver,2.0,0.0
21,Matchday 9,2026-06-19,12:00 UTC-7,2026-06-20,03:00,USA,Australia,Group D,Seattle,,
22,Matchday 9,2026-06-19,20:00 UTC-7,2026-06-20,11:00,Turkey,Paraguay,Group D,San Francisco Bay Area (Santa Clara),,
23,Matchday 15,2026-06-25,19:00 UTC-7,2026-06-26,10:00,Turkey,USA,Group D,Los Angeles (Inglewood),,
24,Matchday 15,2026-06-25,19:00 UTC-7,2026-06-26,10:00,Paraguay,Australia,Group D,San Francisco Bay Area (Santa Clara),,
25,Matchday 4,2026-06-14,12:00 UTC-5,2026-06-15,01:00,Germany,Curacao,Group E,Houston,7.0,1.0
26,Matchday 4,2026-06-14,19:00 UTC-4,2026-06-15,07:00,Ivory Coast,Ecuador,Group E,Philadelphia,1.0,0.0
27,Matchday 10,2026-06-20,16:00 UTC-4,2026-06-21,04:00,Germany,Ivory Coast,Group E,Toronto,,
28,Matchday 10,2026-06-20,19:00 UTC-5,2026-06-21,08:00,Ecuador,Curacao,Group E,Kansas City,,
29,Matchday 15,2026-06-25,16:00 UTC-4,2026-06-26,04:00,Curacao,Ivory Coast,Group E,Philadelphia,,
30,Matchday 15,2026-06-25,16:00 UTC-4,2026-06-26,04:00,Ecuador,Germany,Group E,New York/New Jersey (East Rutherford),,
31,Matchday 4,2026-06-14,15:00 UTC-5,2026-06-15,04:00,Netherlands,Japan,Group F,Dallas (Arlington),2.0,2.0
32,Matchday 4,2026-06-14,20:00 UTC-6,2026-06-15,10:00,Sweden,Tunisia,Group F,Monterrey (Guadalupe),5.0,1.0
33,Matchday 10,2026-06-20,12:00 UTC-5,2026-06-21,01:00,Netherlands,Sweden,Group F,Houston,,
34,Matchday 10,2026-06-20,22:00 UTC-6,2026-06-21,12:00,Tunisia,Japan,Group F,Monterrey (Guadalupe),,
35,Matchday 15,2026-06-25,18:00 UTC-5,2026-06-26,07:00,Japan,Sweden,Group F,Dallas (Arlington),,
36,Matchday 15,2026-06-25,18:00 UTC-5,2026-06-26,07:00,Tunisia,Netherlands,Group F,Kansas City,,
37,Matchday 5,2026-06-15,12:00 UTC-7,2026-06-16,03:00,Belgium,Egypt,Group G,Seattle,1.0,1.0
38,Matchday 5,2026-06-15,18:00 UTC-7,2026-06-16,09:00,Iran,New Zealand,Group G,Los Angeles (Inglewood),2.0,2.0
39,Matchday 11,2026-06-21,12:00 UTC-7,2026-06-22,03:00,Belgium,Iran,Group G,Los Angeles (Inglewood),,
