away_team,date,neutral,home_score,tournament,home_team,away_score
England,1872-11-30,False,0,Friendly,Scotland,0
Scotland,1873-03-08,False,4,Friendly,England,2
England,1874-03-07,False,2,Friendly,Scotland,1
Scotland,1875-03-06,False,2,Friendly,England,2
England,1876-03-04,False,3,Friendly,Scotland,0
Wales,1876-03-25,False,4,Friendly,Scotland,0
Scotland,1877-03-03,False,1,Friendly,England,3
Scotland,1877-03-05,False,0,Friendly,Wales,2
England,1878-03-02,False,7,Friendly,Scotland,2
Wales,1878-03-23,False,9,Friendly,Scotland,0
Wales,1879-01-18,False,2,Friendly,England,1
Scotland,1879-04-05,False,5,Friendly,England,4
Scotland,1879-04-07,False,0,Friendly,Wales,3
England,1880-03-13,False,5,Friendly,Scotland,4
England,1880-03-15,False,2,Friendly,Wales,3
Wales,1880-03-27,False,5,Friendly,Scotland,1
Wales,1881-02-26,False,0,Friendly,England,1
Scotland,1881-03-12,False,1,Friendly,England,6
Scotland,1881-03-14,False,1,Friendly,Wales,5
England,1882-02-18,False,0,Friendly,Northern Ireland,13
Northern Ireland,1882-02-25,False,7,Friendly,Wales,1
England,1882-03-11,False,5,Friendly,Scotland,1
England,1882-03-13,False,5,Friendly,Wales,3
Wales,1882-03-25,False,5,Friendly,Scotland,0
Wales,1883-02-03,False,5,Friendly,England,0
Northern Ireland,1883-02-24,False,7,Friendly,England,0
Scotland,1883-03-10,False,2,Friendly,England,3
Scotland,1883-03-12,False,0,Friendly,Wales,3
Wales,1883-03-17,False,1,Friendly,Northern Ireland,1
Scotland,1884-01-26,False,0,British Home Championship,Northern Ireland,5
Northern Ireland,1884-02-09,False,6,British Home Championship,Wales,0
England,1884-02-23,False,1,British Home Championship,Northern Ireland,8
England,1884-03-15,False,1,British Home Championship,Scotland,0
England,1884-03-17,False,0,British Home Championship,Wales,4
Wales,1884-03-29,False,4,British Home Championship,Scotland,1
Northern Ireland,1885-02-28,False,4,British Home Championship,England,0
Wales,1885-03-14,False,1,British Home Championship,England,1
Northern Ireland,1885-03-14,False,8,British Home Championship,Scotland,2
Scotland,1885-03-21,False,1,British Home Championship,England,1
Scotland,1885-03-23,False,1,British Home Championship,Wales,8
Wales,1885-04-11,False,2,British Home Championship,Northern Ireland,8
Canada,1885-11-28,False,0,Friendly,USA,1
Northern Ireland,1886-02-27,False,5,British Home Championship,Wales,0
England,1886-03-13,False,1,British Home Championship,Northern Ireland,6
Scotland,1886-03-20,False,2,British Home Championship,Northern Ireland,7
England,1886-03-27,False,1,British Home Championship,Scotland,1
England,1886-03-29,False,1,British Home Championship,Wales,3
Wales,1886-04-10,False,4,British Home Championship,Scotland,1
Canada,1886-11-25,False,3,Friendly,USA,2
Northern Ireland,1887-02-05,False,7,British Home Championship,England,0
Northern Ireland,1887-02-19,False,4,British Home Championship,Scotland,1
Wales,1887-02-26,False,4,British Home Championship,England,0
Wales,1887-03-12,False,4,British Home Championship,Northern Ireland,1
Scotland,1887-03-19,False,2,British Home Championship,England,3
Scotland,1887-03-21,False,0,British Home Championship,Wales,2
Wales,1888-02-04,False,5,British Home Championship,England,1
Northern Ireland,1888-03-03,False,11,British Home Championship,Wales,0
Wales,1888-03-10,False,5,British Home Championship,Scotland,1
England,1888-03-17,False,0,British Home Championship,Scotland,5
Scotland,1888-03-24,False,2,British Home Championship,Northern Ireland,10
England,1888-04-07,False,1,British Home Championship,Northern Ireland,5
Canada,1888-09-19,False,4,Friendly,Scotland,0
Wales,1889-02-23,False,4,British Home Championship,England,1
Northern Ireland,1889-03-02,False,6,British Home Championship,England,1
Northern Ireland,1889-03-09,False,7,British Home Championship,Scotland,0
Scotland,1889-04-13,False,2,British Home Championship,England,3
Scotland,1889-04-15,False,0,British Home Championship,Wales,0
Wales,1889-04-27,False,1,British Home Championship,Northern Ireland,3
Northern Ireland,1890-02-08,True,5,British Home Championship,Wales,2
England,1890-03-15,False,1,British Home Championship,Northern Ireland,9
England,1890-03-15,False,1,British Home Championship,Wales,3
Wales,1890-03-22,False,5,British Home Championship,Scotland,0
Scotland,1890-03-29,False,1,British Home Championship,Northern Ireland,4
England,1890-04-05,False,1,British Home Championship,Scotland,1
Wales,1891-02-07,False,7,British Home Championship,Northern Ireland,2
Wales,1891-03-07,False,4,British Home Championship,England,1
Northern Ireland,1891-03-07,False,6,British Home Championship,England,1
Scotland,1891-03-21,False,3,British Home Championship,Wales,4
Northern Ireland,1891-03-28,False,2,British Home Championship,Scotland,1
Scotland,1891-04-04,False,2,British Home Championship,England,1
Northern Ireland,1892-02-27,False,1,British Home Championship,Wales,1
England,1892-03-05,False,0,British Home Championship,Northern Ireland,2
England,1892-03-05,False,0,British Home Championship,Wales,2
Scotland,1892-03-19,False,2,British Home Championship,Northern Ireland,3
Wales,1892-03-26,False,6,British Home Championship,Scotland,1
England,1892-04-02,False,1,British Home Championship,Scotland,4
Northern Ireland,1893-02-25,False,6,British Home Championship,England,1
Wales,1893-03-13,False,6,British Home Championship,England,0
Scotland,1893-03-18,False,0,British Home Championship,Wales,8
Northern Ireland,1893-03-25,False,6,British Home Championship,Scotland,1
Scotland,1893-04-01,False,5,British Home Championship,England,2
Northern Ireland,1894-02-24,False,4,British Home Championship,Wales,1
England,1894-03-03,False,2,British Home Championship,Northern Ireland,2
England,1894-03-12,False,1,British Home Championship,Wales,5
Wales,1894-03-24,False,5,British Home Championship,Scotland,2
Scotland,1894-03-31,False,1,British Home Championship,Northern Ireland,2
England,1894-04-07,False,2,British Home Championship,Scotland,2
Northern Ireland,1895-03-09,False,9,British Home Championship,England,0
Wales,1895-03-16,False,2,British Home Championship,Northern Ireland,2
Wales,1895-03-18,False,1,British Home Championship,England,1
Scotland,1895-03-23,False,2,British Home Championship,Wales,2
Northern Ireland,1895-03-30,False,3,British Home Championship,Scotland,1
Scotland,1895-04-06,False,3,British Home Championship,England,0
Northern Ireland,1896-02-29,False,6,British Home Championship,Wales,1
England,1896-03-07,False,0,British Home Championship,Northern Ireland,2
England,1896-03-16,False,1,British Home Championship,Wales,9
Wales,1896-03-21,False,4,British Home Championship,Scotland,0
Scotland,1896-03-28,False,3,British Home Championship,Northern Ireland,3
England,1896-04-04,False,2,British Home Championship,Scotland,1
Northern Ireland,1897-02-20,False,6,British Home Championship,England,0
Wales,1897-03-06,False,4,British Home Championship,Northern Ireland,3
Scotland,1897-03-20,False,2,British Home Championship,Wales,2
Northern Ireland,1897-03-27,False,5,British Home Championship,Scotland,1
Wales,1897-03-29,False,4,British Home Championship,England,0
Scotland,1897-04-03,False,1,British Home Championship,England,2
Northern Ireland,1898-02-19,False,0,British Home Championship,Wales,1
England,1898-03-05,False,2,British Home Championship,Northern Ireland,3
Wales,1898-03-19,False,5,British Home Championship,Scotland,2
Scotland,1898-03-26,False,0,British Home Championship,Northern Ireland,3
England,1898-03-28,False,0,British Home Championship,Wales,3
England,1898-04-02,False,1,British Home Championship,Scotland,3
Northern Ireland,1899-02-18,False,13,British Home Championship,England,2
Wales,1899-03-04,False,1,British Home Championship,Northern Ireland,0
Scotland,1899-03-18,False,0,British Home Championship,Wales,6
Wales,1899-03-20,False,4,British Home Championship,England,0
Northern Ireland,1899-03-25,False,9,British Home Championship,Scotland,1
Scotland,1899-04-08,False,2,British Home Championship,England,1
Wales,1900-02-03,False,5,British Home Championship,Scotland,2
Northern Ireland,1900-02-24,False,2,British Home Championship,Wales,0
Scotland,1900-03-03,False,0,British Home Championship,Northern Ireland,3
England,1900-03-17,False,0,British Home Championship,Northern Ireland,2
England,1900-03-26,False,1,British Home Championship,Wales,1
England,1900-04-07,False,4,British Home Championship,Scotland,1
Northern Ireland,1901-02-23,False,11,British Home Championship,Scotland,0
Scotland,1901-03-02,False,1,British Home Championship,Wales,1
Northern Ireland,1901-03-09,False,3,British Home Championship,England,0
Wales,1901-03-18,False,6,British Home Championship,England,0
Wales,1901-03-23,False,0,British Home Championship,Northern Ireland,1
Scotland,1901-03-30,False,2,British Home Championship,England,2
Northern Ireland,1902-02-22,False,0,British Home Championship,Wales,3
Scotland,1902-03-01,False,1,British Home Championship,Northern Ireland,5
England,1902-03-03,False,0,British Home Championship,Wales,0
Wales,1902-03-15,False,5,British Home Championship,Scotland,1
England,1902-03-22,False,0,British Home Championship,Northern Ireland,1
Scotland,1902-05-03,False,2,British Home Championship,England,2
Argentina,1902-07-20,False,0,Friendly,Uruguay,6
Hungary,1902-10-12,False,5,Friendly,Austria,0
Northern Ireland,1903-02-14,False,4,British Home Championship,England,0
Wales,1903-03-02,False,2,British Home Championship,England,1
Scotland,1903-03-09,False,0,British Home Championship,Wales,1
Northern Ireland,1903-03-21,False,0,British Home Championship,Scotland,2
Wales,1903-03-28,False,2,British Home Championship,Northern Ireland,0
Scotland,1903-04-04,False,1,British Home Championship,England,2
Czechoslovakia,1903-04-05,False,2,Friendly,Hungary,1
Austria,1903-06-11,False,3,Friendly,Hungary,2
Uruguay,1903-09-13,False,2,Friendly,Argentina,3
Hungary,1903-10-11,False,4,Friendly,Austria,2
England,1904-02-29,False,2,British Home Championship,Wales,2
England,1904-03-12,False,1,British Home Championship,Northern Ireland,3
Wales,1904-03-12,False,1,British Home Championship,Scotland,1
Northern Ireland,1904-03-21,False,0,British Home Championship,Wales,1
Scotland,1904-03-26,False,1,British Home Championship,Northern Ireland,1
England,1904-04-09,False,0,British Home Championship,Scotland,1
France,1904-05-01,False,3,Évence Coppée Trophy,Belgium,3
Austria,1904-06-02,False,3,Friendly,Hungary,0
Hungary,1904-10-09,False,5,Friendly,Austria,4
Switzerland,1905-02-12,False,1,Friendly,France,0
Northern Ireland,1905-02-25,False,1,British Home Championship,England,1
Scotland,1905-03-06,False,3,British Home Championship,Wales,1
Northern Ireland,1905-03-18,False,4,British Home Championship,Scotland,0
Wales,1905-03-27,False,3,British Home Championship,England,1
Scotland,1905-04-01,False,1,British Home Championship,England,0
Wales,1905-04-08,False,2,British Home Championship,Northern Ireland,2
Austria,1905-04-09,False,0,Friendly,Hungary,0
Alderney,1905-04-17,False,6,Muratti Vase,Guernsey,0
Guernsey,1905-04-27,False,0,Muratti Vase,Jersey,1
Netherlands,1905-04-30,False,1,Friendly,Belgium,4
France,1905-05-07,False,7,Friendly,Belgium,0
Belgium,1905-05-14,False,4,Friendly,Netherlands,0
Trinidad and Tobago,1905-07-21,False,1,Friendly,Guyana,4
Uruguay,1905-08-15,False,0,Copa Lipton,Argentina,0
England,1906-02-17,False,0,British Home Championship,Northern Ireland,5
Wales,1906-03-03,False,0,British Home Championship,Scotland,2
Scotland,1906-03-17,False,0,British Home Championship,Northern Ireland,1
England,1906-03-19,False,0,British Home Championship,Wales,1
Guernsey,1906-03-29,False,1,Muratti Vase,Jersey,2
