team,group,points,gf,ga,wins,draws,losses,gd,group_letter
South Korea,Group A,7,5,2,2,1,0,3,A
Mexico,Group A,7,4,1,2,1,0,3,A
Czech Republic,Group A,3,3,3,1,0,2,0,A
South Africa,Group A,0,0,6,0,0,3,-6,A
Switzerland,Group B,7,7,1,2,1,0,6,B
Canada,Group B,7,6,1,2,1,0,5,B
Bosnia & Herzegovina,Group B,1,1,6,0,1,2,-5,B
Qatar,Group B,1,1,7,0,1,2,-6,B
Brazil,Group C,7,7,1,2,1,0,6,C
Morocco,Group C,7,6,1,2,1,0,5,C
Scotland,Group C,3,1,3,1,0,2,-2,C
Haiti,Group C,0,0,9,0,0,3,-9,C
Turkey,Group D,5,3,2,1,2,0,1,D
USA,Group D,5,3,2,1,2,0,1,D
Australia,Group D,3,3,3,0,3,0,0,D
Paraguay,Group D,1,1,3,0,1,2,-2,D
Germany,Group E,7,8,1,2,1,0,7,E
Ecuador,Group E,7,7,1,2,1,0,6,E
Ivory Coast,Group E,3,2,5,1,0,2,-3,E
Curacao,Group E,0,0,10,0,0,3,-10,E
Japan,Group F,7,7,1,2,1,0,6,F
Netherlands,Group F,7,7,1,2,1,0,6,F
Sweden,Group F,1,1,7,0,1,2,-6,F
Tunisia,Group F,1,1,7,0,1,2,-6,F
Belgium,Group G,9,7,1,3,0,0,6,G
Iran,Group G,6,5,3,2,0,1,2,G
Egypt,Group G,1,2,6,0,1,2,-4,G
New Zealand,Group G,1,1,5,0,1,2,-4,G
Spain,Group H,9,10,0,3,0,0,10,H
Uruguay,Group H,6,5,2,2,0,1,3,H
Saudi Arabia,Group H,1,1,7,0,1,2,-6,H
Cape Verde,Group H,1,1,8,0,1,2,-7,H
France,Group I,9,9,1,3,0,0,8,I
Norway,Group I,6,5,3,2,0,1,2,I
Senegal,Group I,3,3,5,1,0,2,-2,I
Iraq,Group I,0,0,8,0,0,3,-8,I
Argentina,Group J,9,9,0,3,0,0,9,J
Austria,Group J,4,3,4,1,1,1,-1,J
Algeria,Group J,2,2,5,0,2,1,-3,J
Jordan,Group J,1,1,6,0,1,2,-5,J
Portugal,Group K,7,8,1,2,1,0,7,K
Colombia,Group K,7,6,1,2,1,0,5,K
Uzbekistan,Group K,1,1,6,0,1,2,-5,K
DR Congo,Group K,1,1,8,0,1,2,-7,K
England,Group L,9,8,0,3,0,0,8,L
Croatia,Group L,6,5,2,2,0,1,3,L
Panama,Group L,3,1,3,1,0,2,-2,L
Ghana,Group L,0,0,9,0,0,3,-9,L
